Locality;Site;NR;YEAR;MONTH;Habitat;ART;VEKT;LENMM;LENCM;Kond;SEX;MATURITY;AGE;Measured Hg weight;Omregnfaktor;MHGWet1;MHGWet2;MHGDry;Log10MHGWet1;Log10MHGDry;FG;Bosmina;Daphnia;Holoped;Bythotrep;Polyph;Leptodora;CyclCop;CalCop;Acantocycl;Littorale småkreps;Linsekreps;Krystallkr;Muslingkr;Marflo;Asell;Damsnegl;Skivesnegl;Gjellesnegl;Ertemusl;Luftins;ChirPup;ChirLarv;VårflPup;VårflLMHus;VårflLUHus;Døgnfll;Steinfll;Muddfll;Stankelbl;Vannbiller;Vannmidd;FiskUid;9pigg;sik;lagesild;UidCoreg;abbor;gjedde;niøye;Annet;UidInsL;UidPlankt;Uid;Mageanmerkn;SIASample ;%C;%N;δ13C;δ15N;SIAanmerkn;Kolonne1
Skrukkebukta;SB;1001;2018;9;1;2;419;343;34,3;34,3;34,3;34,3;12;Dry;0,21;2468,536465;2,468536465;11,75493555;3,392439547;1,070220252;20;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;SB-1001;44,350521;14,7445852;-25,64326328;11,37767212;;
Skrukkebukta;SB;1002;2018;9;1;2;33,6;142;14,2;1,173476088;2;2;4;Dry;0,21;54,72752014;0,05472752;0,260607239;1,738205769;-0,584013525;20;;;;;;;;;;;1;;;;;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;SB-1002;46,8841379;14,8576301;-24,86827838;8,385537258;;
Skrukkebukta;SB;1006;2018;9;1;2;195;245;24,5;1,325978121;2;2;13;Dry;0,21;100,909454;0,100909454;0,48052121;2,003931856;-0,318287438;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Helt fordøyd.;SB-1006;44,8960033;14,5318399;-23,17637489;8,795861789;;
Skrukkebukta;SB;1008;2018;9;1;2;455;327;32,7;1,301272161;2;2;11;Dry;0,21;1006,133071;1,006133071;4,791109863;3,002655424;0,68043613;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SB-1008;44,4520695;14,3643559;-25,66431239;10,97825569;;
Skrukkebukta;SB;1010;2018;9;1;2;284;280;28;1,293731778;1;2;14;Dry;0,21;397,5935229;0,397593523;1,89330249;2,599439301;0,277220006;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;;;;;Godt fordøyd.;SB-1010;47,2100188;15,1826366;-22,96457948;9,724263412;;
Skrukkebukta;SB;1011;2018;9;1;2;46,6;158;15,8;1,181448121;2;2;4;Dry;0,21;48,72099655;0,048720997;0,232004745;1,687716163;-0,634503132;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;;;;;;;;;;;Godt fordøyd;SB-1011;46,8577469;14,8571978;-23,33447853;8,421058072;;
Skrukkebukta;SB;1012;2018;9;1;2;79,8;192;19,2;1,12745497;1;1;6;Dry;0,21;46,2544194;0,046254419;0,22025914;1,665153234;-0,657066061;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;;;;;;;;;;;;1 fisk;SB-1012;43,2643073;13,8053816;-23,97527058;8,626412261;;
Skrukkebukta;SB;1014;2018;9;1;2;170;234;23,4;1,326787432;1;2;13;Dry;0,21;101,2768771;0,101276877;0,482270844;2,005510301;-0,316708993;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;;;;;;;;;;;2x fisk. Stickleback;SB-1014;45,8343455;14,7776678;-24,65352405;9,653153544;;
Skrukkebukta;SB;1017;2018;9;1;2;16,2;114;11,4;1,093453856;1;1;3;Dry;0,21;31,72731628;0,031727316;0,151082458;1,501433338;-0,820785957;40;1;;;;;;;;;;5;;;;;;;;;36;;;;;;;;;;;;;;;;;;;;;;;;;SB-1017;45,40745033;14,03243046;-23,7482962;8,231456827;;
Skrukkebukta;SB;1018;2018;9;1;2;24,6;136;13,6;0,977953898;2;2;5;Dry;0,21;56,1660022;0,056166002;0,267457153;1,749473513;-0,572745782;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;Godt fordøyd.;SB-1018;46,6811675;14,7185332;-25,83761716;8,940435759;;
