Rekkefølge;År;Hovedlokalitet;Hovedlokkode;Sted;Nr;Mnd;Dag;Hab;Art;ArtPop;Vekt;Lengde;Lencm;Lengrcm;Kond;Kjønn;Stadium;Operculum;Alder;ALDOK;AltAld;AldMerkn;Mage;MC;Azygia;Gjeddemakk;Gjellelus;Muskel;SIA;Merknad;FG;Bosmina;Daphnia;Holoped;Bythotrep;Polyph;Leptodora;CyclCop;CalCop;Acantocycl;Littorale småkreps;Linsekreps;Krystallkr;Muslingkr;Marflo;Asell;Damsnegl;Skivesnegl;Gjellesnegl;Ertemusl;Luftins;ChirPup;ChirLarv;VårflPup;VårflLMHus;VårflLUHus;Døgnfll;Steinfll;Muddfll;Stankelbl;Vannbiller;Vannmidd;FiskUid;90pigg;sik;lagesild;UidCoreg;abbor;ørekyte;lake;gjedde;ørret;niøye;Egg;Annet;UidInsL;UidPlankt;Uid;Mageanmerkn;;piscivorous
893;2020;Vaggatem;1;RB;1062;9;7;2;2;2;11,5;100;10;10;1,15;2;1;+;2;1;-;;+;-;-;-;0;-;-;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1385;2020;Vaggatem;1;TB;1107;9;9;2;2;2;12,5;102;10,2;10;1,038531458;2;1;+;1;1;0;ser kun innerste sone;-;-;-;-;0;+;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
904;2020;Vaggatem;1;RB;1073;9;7;2;2;2;12;103;10,3;10;1,177902918;2;1;+;2;1;-;;+;-;-;-;0;-;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
223;2018;Vaggatem;1;TB;17;9;8;1;2;2;11,8;104;10,4;10;1,098169991;2;1;+;2;1;1;;+;-;-;-;0;-;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
233;2018;Vaggatem;1;TB;27;9;8;1;2;2;12,2;104;10,4;10;1,049015703;1;1;+;2;1;-;; +;-;-;-;0;+;-;whole fish frozen;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1388;2020;Vaggatem;1;TB;1110;9;9;2;2;2;12;104;10,4;10;1,084575558;2;1;+;2;1;-;; +;-;-;-;0;+;-;whole fish frozen;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1384;2020;Vaggatem;1;TB;1106;9;9;2;2;2;14,5;107;10,7;10;1,06679563;2;1;+;2;1;-;;+;-;-;-;0;-;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1383;2020;Vaggatem;1;TB;1105;9;9;2;2;2;13,4;108;10,8;10;8,329023288;1;1;       +;;;;;;          -;       -;          -;0;       +;1;;20;;;;;;;;;;;15;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;2018;Vaggatem;1;TB;29;9;8;1;2;2;14,2;109;10,9;10;1,183631921;2;1;+;2;1;-;;+;-;-;-;0;-;-;;20;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
1382;2020;Vaggatem;1;TB;1104;9;9;2;2;2;15,3;112;11,2;11;1,063735203;1;1;+;2;1;-;;+;-;-;-;0;-;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
455;2019;Vaggatem;1;RB;1063;9;8;1;2;2;17,2;113;11,3;11;1,063735203;1;1;       +;;;;;;        -;        -;        -;0;        +;1;;5;;;;;;;;1;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;1;;rest;;
678;2019;Vaggatem;1;TB;1079;9;7;2;2;2;16,4;114;11,4;11;1,096500542;1;1;+;2;1;-;; +;-;-;-;0;+;-;whole fish frozen;10;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;0
5;2018;Vaggatem;1;RB;1155;9;7;1;2;2;20,6;117;11,7;11;1,217129977;1;1;       +;;;;;;        -;        -;        -;0;        +;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
624;2019;Vaggatem;1;TB;1025;9;7;1;2;2;19,6;117;11,7;11;1,126972201;2;1;       +;;;;;;        -;        -;        -;2;        +;1;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1378;2020;Vaggatem;1;TB;1100;9;9;2;2;2;20;118;11,8;11;1,141998497;2;1;       +;;;;;;        -;        -;        -;0;        +;1;;5;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1375;2020;Vaggatem;1;TB;1097;9;9;2;2;2;21,9;121;12,1;12;1,089023779;1;1;+;2;1;-;;+;-;-;-;0;-;-;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
680;2019;Vaggatem;1;TB;1081;9;7;2;2;2;23,8;123;12,3;12;1,192046279;2;1;+;2;1;-;;         +;           -;           -;           -;0;              +;                 -;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
